# 김직선 말투 지문 — 다른 트레이딩 유튜버 12명 대비 유독 많이 쓰는 표현 (Dunning G², 2026-09-22)
# 김직선 롱폼 72편 자막 418,635자 · 배경 12채널 333,065자 · 형태소 1~3-gram · 김직선 15회 이상만
표현(형태소)	김직선	배경	배율	G2
저/NP	1718	226	5.88	949.2
저/NP 가/JK	838	131	4.94	411.3
거/NN	2573	1029	1.94	348.9
저/NP 는/JX	495	47	8.08	326.4
벌/VV	475	45	8.09	313.6
어요/EF	1803	662	2.11	298.2
돈/NN	544	76	5.51	289.1
거/NN 이/VC	1701	681	1.94	230.1
돈/NN 을/JK	320	27	9.02	222.3
원/NN	559	112	3.85	222.1
이/VC 예요/EF	891	287	2.40	190.2
거/NN 이/VC 예요/EF	687	188	2.83	189.6
예요/EF	892	289	2.39	188.5
나/NP	955	333	2.22	175.8
거/NN 이/VC 죠/EF	315	42	5.75	172.6
%/SW	542	134	3.12	171.0
는/ET 거/NN	1073	418	1.99	155.2
사실/MA	220	19	8.75	151.4
을/JK 벌/VV	216	19	8.59	147.4
사람/NN	518	151	2.65	130.3
되돌리/VV	155	9	12.65	123.1
생각/NN	409	105	3.01	123.0
었/EP 어요/EF	444	122	2.81	121.8
거/NN ᆯ/JK	248	42	4.52	114.4
에요/EF	549	181	2.35	112.4
매일/MA	167	17	7.40	106.5
저/NP 의/JK	188	25	5.72	103.2
트레이딩/NN	391	111	2.72	102.3
는/ET	4176	2514	1.29	102.3
ᆯ게요/EF	334	85	3.03	101.6
나/NP 의/JK	273	59	3.56	100.5
ᆯ/JK	497	166	2.31	99.4
돈/NN 을/JK 벌/VV	149	15	7.45	95.6
거래/NN	665	261	1.97	94.4
굉장히/MA	255	55	3.56	94.0
생각/NN 하/XS	273	63	3.33	93.5
세팅/NN	151	17	6.69	91.4
이/VC 에요/EF	466	160	2.25	88.4
시간/NN	428	141	2.34	87.8
하루/NN	181	29	4.76	87.2
목표/NN	220	45	3.75	85.6
매물/NN 대/XS	174	28	4.73	83.5
는/ET 거/NN ᆯ/JK	102	6	12.17	80.7
는/ET 거/NN 이/VC	733	317	1.79	80.5
사람/NN 들/XS	296	82	2.78	80.3
월/NN	183	33	4.24	80.1
트레이딩/NN 을/JK	109	8	9.94	80.0
ᆸ니다/EF 저/NP	83	2	25.74	79.6
벌/VV 는/ET	87	3	19.27	78.5
잃/VV	159	25	4.83	77.7
매물/NN	207	44	3.61	77.5
ᆫ/ET 거/NN	436	155	2.17	77.2
ᆫ/ET 거/NN 이/VC	277	76	2.81	76.2
못/MA	256	68	2.90	73.6
어요/EF 저/NP	71	1	36.70	72.6
때문/NN 이/VC 에요/EF	97	7	10.03	71.6
직선/NN	69	1	35.66	70.4
근데/MA	341	113	2.33	69.2
ᆯ/ET 거/NN	387	137	2.18	69.1
초보자/NN	93	7	9.61	67.6
ᆯ/ET 거/NN 이/VC	325	107	2.34	66.7
은/ET	1057	536	1.53	66.7
거래/NN 하/XS	163	32	3.89	66.0
책/NN	114	14	6.10	65.7
나/NP 가/JK	492	198	1.92	65.7
원/NN 을/JK	94	8	8.57	65.1
손실/NN	300	96	2.41	64.8
거래/NN 를/JK	200	50	3.07	62.2
얘/NP	280	89	2.43	61.2
벌/VV 고/EC	66	2	20.47	61.0
보/VX ᆯ게요/EF	139	25	4.23	61.0
미장/NN	53	0	82.18	60.8
이익/NN	135	24	4.27	59.8
있/VA 는/ET	390	149	2.02	59.0
증권사/NN	109	15	5.45	58.5
비중/NN	97	11	6.54	58.5
방법/NN	310	107	2.24	58.2
있/VA 어요/EF	271	87	2.40	58.2
어/EC 보/VX ᆯ게요/EF	133	24	4.21	58.2
자유/NN	50	0	77.53	57.4
손실/NN 을/JK	124	21	4.47	57.2
해외/NN	134	25	4.07	56.9
세팅/NN 하/XS	71	4	12.23	56.9
수/NN	1554	880	1.37	56.9
여러분/NP 이/JK	95	11	6.40	56.6
매물/NN 대/XS 를/JK	56	1	28.94	55.9
대/XS	188	49	2.94	55.4
수/NN 있/VA 어요/EF	119	20	4.50	55.2
출금/NN	48	0	74.43	55.1
이익/NN 을/JK	69	4	11.89	54.8
봉/NN 에서/JK	109	17	4.83	53.6
어떤/MM	237	74	2.47	53.4
세요/EF	340	128	2.05	53.2
없/VA	502	220	1.77	53.0
한/MM 시간/NN	93	12	5.77	52.0
었/EP 던/ET 거/NN	77	7	7.96	51.8
던/ET 거/NN	80	8	7.30	51.5
목표/NN 를/JK	57	2	17.68	51.3
이/JK 저/NP	61	3	13.51	50.8
들/XS	1392	789	1.37	50.7
달/NN	100	15	5.00	50.6
./SF 근데/MA	100	15	5.00	50.6
는/ET 사람/NN	165	42	3.01	50.2
시간/NN 봉/NN	139	31	3.42	49.4
이/MM 영상/NN	71	6	8.47	49.3
되돌리/VV ᆷ/ET	71	6	8.47	49.3
마감/NN	136	30	3.46	49.0
저/NP 도/JX	74	7	7.65	48.9
벌/VV ᆯ/ET	67	5	9.44	48.9
어요/EF ./SF	674	331	1.58	48.4
이/VC ᆸ니다/EF 저/NP	42	0	65.12	48.2
김/NN 직선/NN	42	0	65.12	48.2
를/JK	2906	1836	1.23	47.8
경제/NN	58	3	12.85	47.6
더블/NN	41	0	63.57	47.1
거든요/EF	188	55	2.63	47.0
도/JX	1421	821	1.34	46.0
얻/VV	71	7	7.34	46.0
습니다/EF 저/NP	52	2	16.13	45.9
금액/NN	83	11	5.60	45.6
행동/NN	67	6	7.99	45.4
ᆯ/ET 수/NN	1359	783	1.34	44.8
ᆯ까요/EF	202	64	2.43	44.4
있/VA	1685	1005	1.30	44.1
