id	길이(초)	조회수	올린날	제목	비고
4MP0BadRNkA	1042	105259	20260706	이번이 마지막이라며, 매달 같은 실수를 반복하는 트레이더에게	
Tj8DYiNS0LQ	1001	45680	20260616	세력이 1주일에 가장 크게 움직이는 날 (저는 이때 들어갑니다)	
fTX7TYQSeqA	786	32961	20260603	트레이더라면 반드시 알아야 할 트레이딩 수학, 이것 하나면 됩니다	
ZV7i5VVfIAU	750	161672	20260520	가짜 돌파 1초만에 구분하는 방법, 손절 90% 줄어듭니다	
BQsaaPRAbAU	440	32587	20260514	10년동안 살아남은 트레이더가 지키는 단 하나의 규칙	
l5jhFQN0y7A	751	111679	20260428	매매 직전에 이것만 기다리세요 - 14년차 트레이더가 매일 보는 단 1가지 (캔들 마감)	
2Rp-yZeOhy8	734	49720	20260331	4만명을 가르치고 알았습니다. 끝까지 살아남는 트레이더는 딱 3%입니다	
dzF9cCAW1OE	621	200445	20260317	10번중 9번 이기는 단타 매매법, 저는 매일 이 방법만 씁니다	
pSB3MVMjTHU	774	89226	20260311	"이것" 모르면 절대 단타로 성공 못합니다	
t800Joz9GHw	970	183988	20260224	10년간 이 지표 2개만 썼습니다. 승률 78%, 세팅까지 전부 알려드립니다	
OQ_y05yH5z4	1420	451733	20260217	3억 잃고 나서야 알았습니다. 캔들 하나면 충분했다는 걸	
lj6zc4k07w4	848	128954	20260210	전 재산 날리고 깨달았습니다. 상위 1% 트레이더만 아는 7가지 생존 법칙	
vlCUqFENRow	897	68529	20260203	직장을 관두고 싶다면 이 영상 1초도 스킵하지 마세요	
eTFnJAZi6Tg	962	234236	20260121	매일 1시간이면 충분한 시초가 단타매매	
SMjLHnhyc8E	694	110448	20251204	아직도 소액계좌로 트레이딩 한다면 이 영상을 반드시 시청하세요	
pzS1RsfUSfE	1122	224831	20251110	이 방법을 알기 전까지 지지와 저항은 쓸모없었습니다	
UrwVp216yQ4	1041	363744	20250926	97% 트레이더가 돈을 잃는 이유 (3%가 돈을 버는 방법)	
5fThlCTKFm4	636	130870	20250825	거래량 없이 3개월 만에 시드 30배 만든 방법	
k_eba9NUM4I	1936	367172	20250701	30분만에 볼린저 밴드 마스터하기 (초급부터 고급)	
0kvj4NSTxZ0	753	368751	20250522	1만원으로 매일 10만원을 버는 데이트레이더가 되는 방법	
xaQbzSl7Z1U	806	321322	20250418	초보자도 가능한 손절1% 수익10% 만드는 매매방법	
J2BOJCyoZL8	283	62672	20250325	100억 출금 인증을 만든 단 한권의 인생책	
uz9W3G8Ct7E	974	207981	20250318	단타 고수들이 사용하는 이동평균선, 싹 다 정리해 드리겠습니다	
vCyt8tHX28Y	594	109170	20250212	손절 버튼을 '삭제'했더니 매달 6천만원?!	
MUqrn_UU_G8	774	87287	20250203	트레이딩으로 1년만에 삶을 바꾸기 (4단계 프로세스)	
y6Eng4FKyU0	985	1200854	20241231	트레이딩으로 100만원 계좌를 폭발적으로 성장시키는 방법 [2026년]	
ir61CdNILjE	621	126003	20241218	돈 버는 트레이더는 절대 이 4가지를 안 합니다	
8jrIHIKMUpI	756	487296	20241204	수백억 트레이더는 몇 분봉으로 매매할까?	
NlW7Crafn5w	630	48346	20241125	미국 지수로 수백억 번 사람이 말하는 빠르게 경제적 자유를 이루는 방법	
HuUeYU370aU	480	189881	20241114	손실복구 무조건 "이렇게"만 하세요	
kjbeDZRTCCI	679	558572	20241105	단타실수 6가지 이것만 안 해도 1억을 빠르게 벌 수 있습니다	
SgJ-m_LPcQk	473	146579	20241028	매매법을 가장 빠르게 습득하여 2주만에 수익 내는 방법	
bjJFu-XNNh0	3304	65648	20241022	수익을 위한 집중 플레이리스트 | 김직선 나스닥 실전 매매	자막 없음(외국어 영상 — 자동 번역이라 뺐음)
uF67akeR-Vw	1035	76326	20241007	-3억 껄무새를 탈출한 나만의 방법을 공개합니다	
RdkmKqMpKuM	630	366343	20240930	완전초보도 익절가능한 5분봉 단타 매매법	
icQ9JHu2GjY	486	267517	20240916	단타고수들이 실력을 빠르게 늘리는 4가지 방법	
rQZyjGIzeAE	669	217668	20240826	단타(데이트레이딩)를 잘하기 위한 3가지 필수 비법	
IP2o-Q5HoHU	645	140797	20240809	매번 수익내는 사람들의 공통점 5가지	
G3qYU0vnfNE	568	59649	20240728	내 재산이 0원이 된다면? 저는 이렇게 하겠습니다	
hM1zeKB0C5k	2155	136923	20240706	실패에서 성공으로 빠르게 바꾸는 방법	
xSxNrzd897g	1505	358256	20240603	해외 선물 하는 법(생태계, 증거금, 거래방법 총정리)	
369G6Pc0nbs	404	65805	20240430	(사례포함)매매로 부자가 되기 직전, 반드시 '이 것' 겪는다	
EcT3a03pJkA	623	96925	20240425	"매일매일 행복해요" 주식 그만두고 3개월마다 1억을 만들어준 방법	
Vyc6QO7OfpU	589	120841	20240422	손실을 줄여주는 매매설정 6가지	
YCZsIlSDvV0	8578	794784	20240404	[Playlist] 수익금이 늘어나는 잔잔한 음악, 투자 집중력 뇌 활성화, 김직선 BGM, 수익률 10000% 노래듣기	자막 없음(외국어 영상 — 자동 번역이라 뺐음)
Va4gOBTmp7I	583	78157	20240328	2억4천만원 수익을 안겨준 매매기법을 알려드립니다	
PcTqfBrbcOw	720	147601	20240221	주식 -3억 깡통계좌를 구원해준 나만의 "세 가지" 방법을 공개합니다	
sdECtg2gN5s	800	33851	20240208	10배 수익을 낼 수 있었던 매매방법과 단타노하우[2부]	
EvTsV5ttJbs	609	24493	20240206	트레이딩 대회 1위, 30대 직장인의 이야기[1부]	
0xbfPBTrQWc	1007	189568	20231228	1주일만에 2배를 만드는 과정을 자세히 공개합니다(매매법 포함)	
WeD0VVA-FYw	517	32943	20231223	미국지수로 월 1억이 가능할까?	
1q4LmEy822Q	148	90133	20231018	감사합니다. 그래서 10년의 노하우를 풀겠습니다.	
K3hrW4jEEnw	903	404421	20231003	이 매매법을 깨닫고 볼린저로 매달 "억"을 벌고 있습니다	
C7uQQ8M30Gg	1478	201166	20230922	상위 1% 트레이더가 알려주는 트레이딩뷰 기초사용법 - 나스닥, 미국주식편	
XcYAR-gak7o	727	387165	20230916	100억 트레이더가 되기까지 70번 읽은 실전투자자를 위한 인생책	
tJWJnlrDNVU	722	70761	20230914	일주일 만에 단 3번의 거래로 1000만원 → 1억원을 만든 매매법 분석	
wr9soIIgDsk	487	45908	20230912	200만원으로 시작해서 100억을 만든 직장인트레이더	
7SR9hkfJ1qg	712	215747	20230828	단 14일만에 130만원을 1300만원으로 만드는 가장 현실적인 매매기법	
