t,YDIF
0,0
0.0333333,0.496783
0.0666667,0.0013875
0.1,0.000915
0.133333,0.290857
0.166667,0.0104675
0.2,0.582082
0.233333,0.000875
0.266667,0.039485
0.3,0.003535
0.333333,0.00014
0.366667,0
0.4,0.343033
0.433333,0.00518
0.466667,0.000875
0.5,7
0.533333,0
0.566667,0
0.6,0.33522
0.633333,0.005285
0.666667,0.001075
0.7,2
0.733333,0
0.766667,0.0144225
0.8,2.5388
0.833333,8.76423
0.866667,10.1394
0.9,8.82293
0.933333,0.0266175
0.966667,0.0043
1,0.338985
1.033333,0.0053075
1.066667,0.00109
1.1,3
1.133333,0
1.166667,0
1.2,0.337035
1.233333,0.0051925
1.266667,0.00105
1.3,9
1.333333,0
1.366667,0
1.4,0.342172
1.433333,0.0053375
1.466667,0.00115
1.5,7
1.533333,0
1.566667,0
1.6,0.33613
1.633333,0.0056675
1.666667,0.00086
1.7,0.0001
1.733333,0
1.766667,0
1.8,0.341095
1.833333,0.0057975
1.866667,0.001245
1.9,6
1.933333,2
1.966667,0
2,6.93509
2.033333,6.20524
2.066667,5.8562
2.1,15.1513
2.133333,6.02295
2.166667,6.0199
2.2,0.360395
2.233333,0.0075625
2.266667,0.00118
2.3,0.00017
2.333333,3
2.366667,0
2.4,0.341738
2.433333,0.0057
2.466667,0.00115
2.5,0.0001
2.533333,0
2.566667,0
2.6,0.336253
2.633333,0.0051525
2.666667,0.00071
2.7,8
2.733333,0
2.766667,0
2.8,0.340703
2.833333,0.00592
2.866667,0.00116
2.9,4
2.933333,0
2.966667,0
3,0.33803
3.033333,0.005465
3.066667,0.000865
3.1,0
3.133333,0
3.166667,0
3.2,0.337747
3.233333,0.0052225
3.266667,0.0012
3.3,0.00014
3.333333,0
3.366667,0
3.4,0.341745
3.433333,0.00552
3.466667,0.00092
3.5,8
3.533333,0
3.566667,0
3.6,178.577
3.633333,2.60181
3.666667,1.18902
3.7,0.609605
3.733333,0.509135
3.766667,0.432825
3.8,12.6126
3.833333,0.578395
3.866667,0.365287
3.9,0.333278
3.933333,0.305825
3.966667,0.264082
4,0.262665
4.033333,0.26406
4.066667,0.219098
4.1,0.545675
4.133333,0.266877
4.166667,0.21381
4.2,2.96954
4.233333,2.41225
4.266667,2.42778
4.3,2.63992
4.333333,14.8847
4.366667,2.99597
4.4,4.07098
4.433333,4.09505
4.466667,3.53553
4.5,3.00507
4.533333,0.180473
4.566667,0.167555
4.6,0.488718
4.633333,0.0511125
4.666667,0.0051925
4.7,0.0032525
4.733333,0.004655
4.766667,0.008645
4.8,0.0038175
4.833333,0.552763
4.866667,0.0036225
4.9,1.70664
4.933333,3.51417
4.966667,3.8719
5,3.84817
5.033333,4.13836
5.066667,5.12963
5.1,4.74885
5.133333,5.36917
5.166667,5.07672
5.2,5.18973
5.233333,7.03473
5.266667,6.0374
5.3,6.17871
5.333333,6.20269
5.366667,6.40419
5.4,7.10359
5.433333,7.11477
5.466667,7.16235
5.5,7.35051
5.533333,7.80096
5.566667,19.7778
5.6,8.47946
5.633333,8.11216
5.666667,8.31063
5.7,8.40143
5.733333,8.34389
5.766667,8.14475
5.8,8.03365
5.833333,8.10707
5.866667,8.05333
5.9,7.51595
5.933333,8.12184
5.966667,8.01009
6,7.66185
6.033333,5.61119
6.066667,0.09149
6.1,0.428488
6.133333,0.09114
6.166667,0.103773
6.2,7.42494
6.233333,7.86941
6.266667,0.682233
6.3,0.0514025
6.333333,0.050185
6.366667,0.0379325
6.4,4.50832
6.433333,7.72929
6.466667,7.46771
6.5,7.8057
6.533333,5.16722
6.566667,0.106018
6.6,0.614112
6.633333,0.132378
6.666667,73.3721
6.7,1.17572
6.733333,0.762092
6.766667,0.281555
6.8,0.008975
6.833333,0.0151625
6.866667,0.02371
6.9,0.0269625
6.933333,0.0269875
6.966667,0.02577
7,0.024645
7.033333,0.0227875
7.066667,0.0128375
7.1,0.0061025
7.133333,0.3823
7.166667,0.902598
7.2,13.5407
7.233333,1.74749
7.266667,1.85084
7.3,1.87637
7.333333,1.94074
7.366667,3.17802
7.4,2.65863
7.433333,1.05919
7.466667,0.01868
7.5,0.0351675
7.533333,0.050975
7.566667,0.0571225
7.6,0.0558525
7.633333,0.08277
7.666667,0.0559525
7.7,0.042845
7.733333,0.02988
7.766667,0.010995
7.8,0.0007475
7.833333,0.0003875
7.866667,7.75
7.9,4
7.933333,9
7.966667,5
8,0.095635
8.033333,0.0332975
8.066667,0.0381925
8.1,0.234478
8.133333,0.09703
8.166667,0.244647
8.2,0.519095
8.233333,0.752912
8.266667,0.80789
8.3,0.8827
8.333333,0.975123
