t,scene_score
0,0.000000
0.0333333,0.000212
0.0666667,0.000007
0.1,0.000002
0.133333,0.000001
0.166667,0.000000
0.2,0.003168
0.233333,0.000001
0.266667,0.000000
0.3,0.000000
0.333333,0.000000
0.366667,0.000000
0.4,0.003150
0.433333,0.000000
0.466667,0.000000
0.5,0.000000
0.533333,0.000000
0.566667,0.000000
0.6,0.000000
0.633333,0.001145
0.666667,0.003856
0.7,0.015932
0.733333,0.018250
0.766667,0.020898
0.8,0.017287
0.833333,0.007548
0.866667,0.040222
0.9,0.000243
0.933333,0.000076
0.966667,0.000030
1,0.001101
1.033333,0.000206
1.066667,0.000082
1.1,0.000026
1.133333,0.000013
1.166667,0.000001
1.2,0.000005
1.233333,0.000003
1.266667,0.000001
1.3,0.000002
1.333333,0.000005
1.366667,0.000003
1.4,0.000242
1.433333,0.000071
1.466667,0.000035
1.5,0.000002
1.533333,0.000006
1.566667,0.000000
1.6,0.000002
1.633333,0.000003
1.666667,0.000001
1.7,0.000002
1.733333,0.000001
1.766667,0.000003
1.8,0.000006
1.833333,0.000004
1.866667,0.000002
1.9,0.000006
1.933333,0.000001
1.966667,0.000195
2,0.000716
2.033333,0.000131
2.066667,0.000010
2.1,0.000035
2.133333,0.000011
2.166667,0.000002
2.2,0.061046
2.233333,0.000031
2.266667,0.000010
2.3,0.000002
2.333333,0.000001
2.366667,0.000001
2.4,0.000002
2.433333,0.000001
2.466667,0.000001
2.5,0.000003
2.533333,0.000000
2.566667,0.000002
2.6,0.027126
2.633333,0.034073
2.666667,0.001307
2.7,0.000820
2.733333,0.001112
2.766667,0.001197
2.8,0.001029
2.833333,0.001308
2.866667,0.001292
2.9,0.001135
2.933333,0.025571
2.966667,0.000418
3,0.000127
3.033333,0.000044
3.066667,0.000008
3.1,0.000071
3.133333,0.000022
3.166667,0.000006
3.2,0.000003
3.233333,0.000000
3.266667,0.000000
3.3,0.000000
3.333333,0.000001
3.366667,0.000000
3.4,0.000001
3.433333,1.000000
3.466667,0.031579
3.5,0.000674
3.533333,0.002365
3.566667,0.011239
3.6,0.005998
3.633333,0.000545
3.666667,0.001492
3.7,0.017371
3.733333,0.012891
3.766667,0.000046
3.8,0.000302
3.833333,0.013910
3.866667,0.015246
3.9,0.001327
3.933333,0.000023
3.966667,0.012686
4,0.016353
4.033333,0.001492
4.066667,0.001449
4.1,0.006981
4.133333,0.011160
4.166667,0.005012
4.2,0.007547
4.233333,0.013668
4.266667,0.000090
4.3,0.000825
4.333333,0.000979
4.366667,0.022216
4.4,0.010216
4.433333,0.000784
4.466667,0.001947
4.5,0.017104
4.533333,0.019843
4.566667,0.000264
4.6,0.001712
4.633333,0.021208
4.666667,0.016923
4.7,0.000151
4.733333,0.000981
4.766667,0.016368
4.8,0.019414
4.833333,0.003075
4.866667,0.001426
4.9,0.011240
4.933333,0.003468
4.966667,0.023838
5,0.000523
5.033333,0.018181
5.066667,0.006681
5.1,0.003880
5.133333,0.000752
5.166667,0.012734
5.2,0.012923
5.233333,0.000397
5.266667,0.001439
5.3,0.014308
5.333333,0.013597
5.366667,0.000537
5.4,0.000052
5.433333,0.014925
5.466667,0.015136
5.5,0.000514
5.533333,0.000000
5.566667,0.014288
5.6,0.014101
5.633333,0.001411
5.666667,0.000135
5.7,0.015298
5.733333,0.014498
5.766667,0.000685
5.8,0.001226
5.833333,0.014349
5.866667,0.014857
5.9,0.000453
5.933333,0.000997
5.966667,0.023352
6,0.019567
6.033333,0.002945
6.066667,0.001065
6.1,0.012602
6.133333,0.015945
6.166667,0.000314
6.2,0.000678
6.233333,0.013833
6.266667,0.013381
6.3,0.002028
6.333333,0.003645
6.366667,0.010676
6.4,0.013795
6.433333,0.000389
6.466667,0.001665
6.5,0.013514
6.533333,0.011804
6.566667,0.000419
6.6,0.000823
6.633333,0.010460
6.666667,0.015184
6.7,0.000208
6.733333,0.003669
6.766667,0.008125
6.8,0.007284
6.833333,0.001388
6.866667,0.000413
6.9,0.010490
6.933333,0.012204
6.966667,0.001024
7,0.000084
7.033333,0.010382
7.066667,0.010173
7.1,0.001542
7.133333,0.000830
7.166667,0.010309
7.2,0.011742
7.233333,0.003295
7.266667,0.000931
7.3,0.011446
7.333333,0.007869
7.366667,0.003442
7.4,0.000136
7.433333,1.000000
7.466667,0.000012
7.5,0.000000
7.533333,0.000000
7.566667,0.000000
7.6,0.000394
7.633333,0.000186
7.666667,0.000063
7.7,0.000020
7.733333,0.000002
7.766667,0.000002
7.8,0.000006
7.833333,0.000354
7.866667,0.000106
7.9,0.000053
7.933333,0.000010
7.966667,0.000009
8,0.001032
8.033333,0.000201
8.066667,0.000044
8.1,0.000019
8.133333,0.000001
8.166667,0.000004
8.2,0.000003
8.233333,0.000001
8.266667,0.000003
8.3,0.000001
8.333333,0.000001
8.366667,0.000001
8.4,0.000001
8.433333,0.000003
8.466667,0.000002
8.5,0.000130
8.533333,0.000060
8.566667,0.000021
8.6,0.000001
8.633333,0.000005
8.666667,0.000001
8.7,0.000008
8.733333,0.000008
8.766667,0.000001
8.8,0.000003
8.833333,0.000003
8.866667,0.000001
8.9,0.000003
8.933333,0.000007
8.966667,0.000000
9,0.000840
9.033333,0.000168
9.066667,0.000047
9.1,0.000023
9.133333,0.000002
9.166667,0.000005
9.2,0.000581
9.233333,0.000085
9.266667,0.000142
9.3,0.000049
9.333333,0.000010
9.366667,0.000003
9.4,0.000000
9.433333,0.048193
9.466667,0.000009
9.5,0.000003
9.533333,0.000001
9.566667,0.000000
9.6,0.000001
9.633333,0.000000
9.666667,0.000000
9.7,0.000000
9.733333,0.000000
9.766667,0.000000
9.8,0.000000
9.833333,0.000000
9.866667,0.000000
9.9,0.000000
9.933333,0.000000
9.966667,0.000000
10,0.000282
10.033333,0.000117
10.066667,0.000030
10.1,0.000006
10.133333,0.000003
10.166667,0.000001
10.2,0.000000
10.233333,0.000000
10.266667,0.000000
10.3,0.000000
10.333333,0.000404
10.366667,0.000064
10.4,0.000009
10.433333,0.000073
10.466667,0.000018
10.5,0.000008
10.533333,0.000003
10.566667,0.000001
10.6,0.000000
10.633333,0.000000
10.666667,0.000001
10.7,0.000000
10.733333,0.000000
10.766667,0.000000
10.8,0.000000
10.833333,0.000000
10.866667,0.000001
10.9,0.000000
10.933333,0.000000
10.966667,0.000000
11,0.000330
11.033333,1.000000
11.066667,0.020801
11.1,0.001937
11.133333,0.000437
11.166667,0.001576
11.2,0.002429
11.233333,0.001008
11.266667,0.000348
11.3,0.000129
11.333333,0.001750
11.366667,0.002960
11.4,0.004002
11.433333,0.002403
11.466667,0.002530
11.5,0.002376
11.533333,0.001940
11.566667,0.005573
11.6,0.002496
11.633333,0.005508
11.666667,0.002661
11.7,0.000936
11.733333,0.002043
11.766667,0.004337
11.8,0.000598
11.833333,0.000819
11.866667,0.004028
11.9,0.002691
11.933333,0.003195
11.966667,0.002131
12,0.000502
12.033333,0.001707
12.066667,0.011476
12.1,0.009725
12.133333,0.010255
12.166667,0.008373
12.2,0.012088
12.233333,0.004110
12.266667,0.008799
12.3,0.002404
12.333333,0.001611
12.366667,0.003416
12.4,0.003694
12.433333,0.000667
12.466667,0.018276
12.5,0.014686
12.533333,0.004778
12.566667,0.002202
12.6,0.002996
12.633333,0.004582
12.666667,0.002042
12.7,0.008573
12.733333,0.002614
12.766667,0.000614
12.8,0.002283
12.833333,0.002526
12.866667,0.003171
12.9,0.003440
12.933333,0.001516
12.966667,0.004508
13,0.001326
13.033333,0.003625
13.066667,0.000942
13.1,0.001390
13.133333,0.005035
13.166667,0.000305
13.2,0.003994
13.233333,0.003187
13.266667,0.000957
13.3,0.001349
13.333333,0.001286
13.366667,0.001907
13.4,0.000437
13.433333,0.000754
13.466667,0.000868
13.5,0.002276
13.533333,0.001340
13.566667,0.001225
13.6,0.001376
13.633333,0.001063
13.666667,0.001822
13.7,0.001647
13.733333,0.002380
13.766667,0.002789
13.8,0.007292
13.833333,0.005785
13.866667,0.006748
13.9,0.005774
13.933333,0.000775
13.966667,0.004968
14,0.001275
14.033333,0.001250
14.066667,0.001275
14.1,0.000316
14.133333,0.485506
14.166667,0.052951
14.2,0.006695
14.233333,0.000448
14.266667,0.000185
14.3,0.000802
14.333333,0.006605
14.366667,0.016101
14.4,0.016523
14.433333,0.000032
14.466667,0.000008
14.5,0.000002
14.533333,0.000001
14.566667,0.000000
14.6,0.000549
14.633333,0.000016
14.666667,0.000005
14.7,0.000002
14.733333,0.000001
14.766667,0.000000
14.8,0.000000
14.833333,0.000548
14.866667,0.000035
14.9,0.016490
14.933333,0.020244
14.966667,0.016100
15,0.006619
15.033333,0.000701
15.066667,0.000100
15.1,0.000457
15.133333,0.006714
15.166667,0.016601
15.2,0.016481
15.233333,0.000016
15.266667,0.000004
15.3,0.000092
15.333333,0.000017
15.366667,0.000004
15.4,0.000002
15.433333,0.000000
15.466667,0.000000
15.5,0.000001
15.533333,0.045468
15.566667,0.007444
15.6,0.006713
15.633333,0.000456
15.666667,0.000093
15.7,0.000716
15.733333,0.006594
15.766667,0.016098
15.8,0.016521
15.833333,0.000030
15.866667,0.000007
15.9,0.000000
15.933333,0.000001
15.966667,0.000001
16,0.000583
16.033333,0.000027
16.066667,0.000007
16.1,0.000002
16.133333,0.000086
16.166667,0.519845
16.2,0.000365
16.233333,0.005830
16.266667,0.000316
16.3,0.000341
16.333333,0.000436
16.366667,0.002805
16.4,0.000066
16.433333,0.013761
16.466667,0.003333
16.5,0.002099
16.533333,0.004689
16.566667,0.001324
16.6,0.002037
16.633333,0.012867
16.666667,0.001951
16.7,0.003244
16.733333,0.003415
16.766667,0.004941
16.8,0.001013
16.833333,0.011273
16.866667,0.041307
16.9,0.022384
16.933333,0.009659
16.966667,0.000186
17,0.002794
17.033333,0.009221
17.066667,0.000999
17.1,0.001108
17.133333,0.000586
17.166667,0.002997
17.2,0.002024
17.233333,0.005762
17.266667,0.000113
17.3,0.000271
17.333333,0.000479
17.366667,0.007084
17.4,0.001081
17.433333,0.012093
17.466667,0.000793
17.5,0.002832
17.533333,0.004442
17.566667,0.001149
17.6,0.000159
17.633333,0.009708
17.666667,0.001070
17.7,0.003239
17.733333,0.000325
17.766667,0.000268
17.8,0.000572
17.833333,0.014596
17.866667,0.003371
17.9,0.003819
17.933333,0.005220
17.966667,0.004494
18,0.002390
18.033333,0.032633
18.066667,0.003827
18.1,0.000408
18.133333,0.004225
18.166667,0.000113
18.2,0.000143
18.233333,0.036498
18.266667,0.008046
18.3,0.000472
18.333333,0.009756
18.366667,0.004035
18.4,0.000658
18.433333,0.030494
18.466667,0.004316
18.5,0.007298
18.533333,0.011969
18.566667,0.008137
18.6,0.000550
18.633333,0.057783
18.666667,0.028812
18.7,0.002723
18.733333,0.005557
18.766667,0.004652
18.8,0.000004
18.833333,0.036767
18.866667,0.007148
18.9,0.002993
18.933333,0.001585
18.966667,0.002059
19,0.003603
19.033333,0.036952
19.066667,0.000978
19.1,0.001823
19.133333,0.000097
19.166667,0.004203
19.2,0.000008
19.233333,0.045276
19.266667,0.004296
19.3,0.007295
19.333333,0.003608
19.366667,0.006888
19.4,0.000007
19.433333,0.053037
19.466667,0.000682
19.5,0.006824
19.533333,0.003922
19.566667,0.008086
19.6,0.000072
19.633333,0.062947
19.666667,0.001771
19.7,0.007663
19.733333,0.005108
19.766667,0.000185
19.8,0.000071
19.833333,0.070829
19.866667,0.004703
19.9,0.001283
19.933333,0.543521
19.966667,0.000131
20,0.026097
20.033333,0.002310
20.066667,0.003154
20.1,0.001378
20.133333,0.001209
20.166667,0.029763
20.2,0.002463
20.233333,0.003984
20.266667,0.004439
20.3,0.000595
20.333333,0.019051
20.366667,0.002390
20.4,0.005437
20.433333,0.017318
20.466667,0.000446
20.5,0.054712
20.533333,0.005739
20.566667,0.005138
20.6,0.013989
20.633333,0.000533
20.666667,0.036295
20.7,0.013111
20.733333,0.006925
20.766667,0.007228
20.8,0.000519
20.833333,0.022396
20.866667,0.003851
20.9,0.002097
20.933333,0.006676
20.966667,0.000466
21,0.031415
21.033333,0.005563
21.066667,0.003836
21.1,0.000074
21.133333,0.000428
21.166667,0.025297
21.2,0.002827
21.233333,0.003854
21.266667,0.005600
21.3,0.000505
21.333333,0.016483
21.366667,0.005126
21.4,0.004438
21.433333,0.003937
21.466667,0.000519
21.5,0.026731
21.533333,0.004072
21.566667,0.002697
21.6,0.004656
21.633333,0.000600
21.666667,0.013660
21.7,0.004152
21.733333,0.007780
21.766667,0.007633
21.8,0.000800
